Wallet,First TX date,Total TXs,Total Data,Total NFTs,Total cost of TXs
u18slp6yI_SGXr9SilnoE4XAa9BzXKPQ3t46loVuLjk,2020-6-11,3,1159164716,2,0.000023956040000000002
VecQdkiI06yjgOPj_ZqyxjaYqveN0PPTvuz60Sc8qZg,2020-6-11,3,1159164716,2,0.000023956040000000002
gBSC_H3w92GMBOkQkFw0mabSm5W9C9APOTUP5D-To8k,2020-6-11,2,1159150409,1,0.000012983392
RBNJEAWbxN6VjNTD09FynG4DIyxq-yQyJ6mnKHslHo8,2021-3-25,1,748478163,0,0.000002010744
963bBFN6Y6A0m7Q2-BDgXSnD9BqmBhhbBKanrO4hwE0,2020-6-11,2,1159150409,1,0.000012983392
suGdFnE6cGE3EZLp9FNz2b0NWWDYfZgCyXT6l3yFmpE,2021-2-9,2,1114418435,1,0.0004935750120000001
FLaD8_492tQE9mXFsI5kuY35UBdSA4u8L11aM-dlPCQ,2021-2-12,2,1114688648,1,0.0006628364350000001
uYx3RF8-V_rmKHkmX76EbOweORuKqlJoyd5MZDRi7Xw,2021-2-9,2,1114402652,1,0.00048368854
WLykoPFFyWz7H73IBfSMXwQVkl2JFnpZe4jwQxeCcGQ,2021-2-9,2,1114343281,1,0.000446498546
IYX_8szedua9Fg1urZUggsrLKGUZumS56JKTQ1pNZ5A,2021-2-9,2,1114343281,1,0.000446498546
PGF4rGp4QJvH1WFIVzbvEkuxExG0pavEDzrRGHvVkQ0,2021-3-16,2,1114477560,1,0.0005306109120000001
QlfFI0l8qqcNmlQlaELck1Sgjny57_HEAu6Vg-ZB84s,2021-2-9,2,1114563577,1,0.0005844919600000001
IALsjI4bOmw2KbYMz1To1nlRNCHA7XqWw933dp820yw,2021-2-9,2,1114226533,1,0.000373367599
EDA2qmAlY-kel1PNZk31AXzKH5nyly4cVAxjeMIQt3I,2020-12-1,3,2227426535,2,0.000101705436
cCRDOx9g60oRyNJOxXdUdtNGg6v3xO6XOAxb1aEH7qc,2021-2-11,2,1113725556,1,0.000059555606
BzO2TE33oZUGvcROkon3F3Ug8xRCqeTV7uNWp8BsyKM,2020-12-8,2,1113773535,1,0.000089609652
_uUW8byVQWoSlR5JQeIz_vVcp4KvMByhDOi9I4OOAuc,2021-3-17,2,1114090853,1,0.000288377647
yXi2NhXRJ_Mo0fQGXUJYyBtHTTz2bBXT-SjwpQWNYHg,2020-12-1,2,379025,2,0.000241442747
YAQOC1oF-M4q7kfK4mpW3EKV0NYP-c_0Rm7nLcvOXrQ,2021-1-20,2,1113802691,1,0.00010787297
Wn1eJGG692xvNEHYwIRjgZS53nBGiEE4LXexSWCLK3M,2021-1-24,3,1114125860,2,0.000312316775
vMnjCD71OIs-NEzu8RHE5WBnLpCbSmS7y11phVBfKFU,2020-12-1,2,1121494816,1,0.00492622007
LPbU0pPAc7Dr4WvSwDV9OiVf2avCCMePS-MQNeUMuwc,2021-2-15,2,1114531854,1,0.0005646206730000001
Q-dJ8-r3PyFxTUSw2PAmHI3qT3-xKl4Zy_6uQW2MolI,2021-3-9,2,1114978798,1,0.0008445863950000001
KaBRdSvIqPpardhK2ftRJXB9gYjTAy1UPzqla_pQXi0,2021-2-3,2,1114150964,1,0.000326031177
OF8og7P1ziUFZ5mI0J-eYQ4rYGYH4Vc3zqvwddfYNHw,2021-3-24,1,1113636900,0,0.000002010744
Ip1FdCx4ZomuMwdE8a-lXLTjMb8eBDfFWLoDcLbINL0,2020-12-1,2,1114784265,1,0.0007227309240000001
